Date,Day,Run,Time,Chamber,State,Beetle,Mass.mg,mL.O2,mL.CO2.licor,mL.CO2.foxbox,Temp.C,Sealed.sec,BP.kPa
1/22/2014,Day.1,R.01,T.1,1,Baseline,1,1.8,0.007237109,0.005582032,0.005699127,30.1659,4600,100.1466
1/22/2014,Day.1,R.01,T.1,2,Baseline,2,1.9,0.008115951,0.007766431,0.008027885,30.17572,4800,100.1466
1/22/2014,Day.1,R.01,T.1,3,Baseline,3,2.1,0.00555768,0.004781358,0.004785243,30.18794,5000,100.1466
1/22/2014,Day.1,R.01,T.1,4,Baseline,4,1.9,0.007052045,0.007316663,0.00755518,30.19033,5200,100.1466
1/22/2014,Day.1,R.01,T.1,5,Baseline,5,1.9,0.009621142,0.007319271,0.007596472,30.19095,5400,100.1466
1/22/2014,Day.1,R.01,T.1,6,Baseline,6,1.9,0.006992053,0.005413264,0.005615563,30.18861,5600,100.1466
1/22/2014,Day.1,R.01,T.1,7,Baseline,7,2,0.01877031,0.01372869,,30.19247,5800,100.1466
1/22/2014,Day.1,R.02,T.1,1,Baseline,8,1.6,0.006552093,0.00490008,0.005156669,30.3022,4600,100.2029
1/22/2014,Day.1,R.02,T.1,2,Baseline,9,1.7,0.006455001,0.005245524,0.00537627,30.31037,4800,100.2029
1/22/2014,Day.1,R.02,T.1,3,Baseline,10,2,0.007981842,0.005857357,0.006147723,30.31985,5000,100.2029
1/22/2014,Day.1,R.02,T.1,4,Baseline,11,1.6,0.004378253,0.006424773,0.006657442,30.31728,5200,100.2029
1/22/2014,Day.1,R.02,T.1,5,Baseline,12,1.5,0.006309772,0.005281654,0.005495092,30.32046,5400,100.2029
1/22/2014,Day.1,R.02,T.1,6,Baseline,13,1.5,0.005821357,0.004578975,0.004678631,30.32661,5600,100.2029
1/22/2014,Day.1,R.02,T.1,7,Baseline,14,2.2,0.008773677,0.006939869,0.007131786,30.32983,5800,100.2029
1/22/2014,Day.1,R.03,T.1,1,Control,15,1.7,0.008336216,0.006607592,0.006749885,29.66451,4600,100.366
1/22/2014,Day.1,R.03,T.1,2,Control,16,1.4,0.007713287,0.005646249,0.005544089,29.65972,4800,100.366
1/22/2014,Day.1,R.03,T.1,3,Control,17,2.1,0.005976066,0.005121167,0.005148352,29.65444,5000,100.366
1/22/2014,Day.1,R.03,T.1,4,Control,18,1.8,0.006087305,0.005269113,0.005360323,29.64911,5200,100.366
1/22/2014,Day.1,R.03,T.1,5,Control,19,2,0.006090611,0.005197445,0.005228285,29.648,5400,100.366
1/22/2014,Day.1,R.03,T.1,6,Control,20,1.7,0.007511344,0.005632563,0.005684613,29.6485,5600,100.366
1/22/2014,Day.1,R.03,T.1,7,Control,21,1.8,0.006509738,0.004659878,0.004699061,29.64742,5800,100.366
1/22/2014,Day.1,R.04,T.2,1,Baseline,1,1.8,0.006791345,0.005886144,0.005962261,30.10452,4600,100.5601
1/22/2014,Day.1,R.04,T.2,2,Baseline,2,1.9,0.006215543,0.005296988,0.00533646,30.10141,4800,100.5601
1/22/2014,Day.1,R.04,T.2,3,Baseline,3,2.1,0.006315488,0.005267842,0.005289825,30.09807,5000,100.5601
1/22/2014,Day.1,R.04,T.2,4,Baseline,4,1.9,0.006841342,0.005425788,0.005372382,30.09352,5200,100.5601
1/22/2014,Day.1,R.04,T.2,5,Baseline,5,1.9,0.006838257,0.005988271,0.005954813,30.09438,5400,100.5601
1/22/2014,Day.1,R.04,T.2,6,Baseline,6,1.9,0.008328227,0.006525609,0.006578409,30.09748,5600,100.5601
1/22/2014,Day.1,R.04,T.2,7,Baseline,7,2,0.007267741,0.005366709,0.005312621,30.09858,5800,100.5601
1/22/2014,Day.1,R.05,T.2,1,Baseline,8,1.6,0.005360882,0.004378071,0.004410124,30.17327,4600,100.6904
1/22/2014,Day.1,R.05,T.2,2,Baseline,9,1.7,0.005226979,0.003938277,0.004075286,30.1586,4800,100.6904
1/22/2014,Day.1,R.05,T.2,3,Baseline,10,2,0.006265226,0.004439733,0.004575373,30.14248,5000,100.6904
1/22/2014,Day.1,R.05,T.2,4,Baseline,11,1.6,0.004981455,0.004865509,0.00503859,30.12556,5200,100.6904
1/22/2014,Day.1,R.05,T.2,5,Baseline,12,1.5,0.006779022,0.005303853,0.00542466,30.117,5400,100.6904
1/22/2014,Day.1,R.05,T.2,6,Baseline,13,1.5,0.005156557,0.004428196,0.004556193,30.11059,5600,100.6904
1/22/2014,Day.1,R.05,T.2,7,Baseline,14,2.2,0.008910656,0.007610554,0.0079567,30.1114,5800,100.6904
1/22/2014,Day.1,R.06,T.2,1,Control,15,1.7,0.01959187,0.01402034,,29.95795,4600,100.7702
1/22/2014,Day.1,R.06,T.2,2,Control,16,1.4,0.005308507,0.004133205,0.004234222,29.97466,4800,100.7702
1/22/2014,Day.1,R.06,T.2,3,Control,17,2.1,0.006570141,0.004807972,0.004780628,29.98059,5000,100.7702
1/22/2014,Day.1,R.06,T.2,4,Control,18,1.8,0.005450185,0.00429649,0.004185527,29.98782,5200,100.7702
1/22/2014,Day.1,R.06,T.2,5,Control,19,2,0.005845039,0.004413204,0.004203267,29.99483,5400,100.7702
1/22/2014,Day.1,R.06,T.2,6,Control,20,1.7,0.00513133,0.004789772,0.004550398,30.00872,5600,100.7702
1/22/2014,Day.1,R.06,T.2,7,Control,21,1.8,0.005598538,0.00452286,0.004067031,30.01988,5800,100.7702
1/23/2014,Day.2,R.07,T.1,1,Infected,1,1.8,0.009100812,0.008880625,0.009119052,30.01061,4600,101.2205
1/23/2014,Day.2,R.07,T.1,2,Infected,2,1.9,0.01663032,0.01335583,,30.01867,4800,101.2205
1/23/2014,Day.2,R.07,T.1,3,Infected,3,2.1,0.0178603,0.01519881,,30.02269,5000,101.2205
1/23/2014,Day.2,R.07,T.1,4,Infected,4,1.9,0.007803067,0.008419749,0.008592532,30.02599,5200,101.2205
1/23/2014,Day.2,R.07,T.1,5,Infected,5,1.9,0.01096106,0.01121138,0.01164524,30.03014,5400,101.2205
1/23/2014,Day.2,R.07,T.1,6,Infected,6,1.9,0.006242545,0.005585175,0.005507562,30.03373,5600,101.2205
1/23/2014,Day.2,R.07,T.1,7,Infected,7,2,0.006774298,0.006717961,0.006715859,30.03668,5800,101.2205
1/23/2014,Day.2,R.08,T.1,1,Infected,8,1.6,0.01330641,0.01124185,,29.8977,4600,101.2038
1/23/2014,Day.2,R.08,T.1,2,Infected,9,1.7,0.006312109,0.005495433,0.005430852,29.90436,4800,101.2038
1/23/2014,Day.2,R.08,T.1,3,Infected,10,2,0.006511547,0.00587363,0.005826692,29.91028,5000,101.2038
1/23/2014,Day.2,R.08,T.1,4,Infected,11,1.6,0.007213999,0.007675706,0.007788005,29.9157,5200,101.2038
1/23/2014,Day.2,R.08,T.1,5,Infected,12,1.5,0.009009108,0.007484699,0.007494994,29.91894,5400,101.2038
1/23/2014,Day.2,R.08,T.1,6,Infected,13,1.5,0.006958324,0.006038512,0.006038514,29.92152,5600,101.2038
1/23/2014,Day.2,R.08,T.1,7,Infected,14,2.2,0.01043779,0.008809645,0.008864434,29.92462,5800,101.2038
1/23/2014,Day.2,R.09,T.1,1,Control,15,1.7,0.007838964,0.006731767,0.006626534,30.0229,4600,101.3709
1/23/2014,Day.2,R.09,T.1,2,Control,16,1.4,0.006218267,0.005904691,0.005835047,30.06566,4800,101.3709
1/23/2014,Day.2,R.09,T.1,3,Control,17,2.1,0.005548708,0.004776204,0.004656297,30.10546,5000,101.3709
1/23/2014,Day.2,R.09,T.1,4,Control,18,1.8,0.003966847,0.004332626,0.004325208,30.13918,5200,101.3709
1/23/2014,Day.2,R.09,T.1,5,Control,19,2,0.005993706,0.005747724,0.005877612,30.16832,5400,101.3709
